Character,Line,Line Number
LADY BASILDON,"You look quite English, Vicomte, quite English.",199
MASON,Mr. and Lady Jane Barford.  Lord Caversham.,18
MASON,Lady Markby.  Mrs. Cheveley.,32
MASON,Lord Goring.,101
MASON,"Yes, Sir Robert.",450
MASON,"Yes, Sir Robert.",452
MASON,Lady Markby.  Mrs. Cheveley.,544
MASON,"No, my lady.",575
MASON,Lord Caversham.,1106
MASON,"Luncheon is on the table, my Lady!",1186
LORD CAVERSHAM,"Good evening, Lady Chiltern!  Has my good-for-nothing young son been here?",19
LORD CAVERSHAM,Because he leads such an idle life.,22
LORD CAVERSHAM,You are a very charming young lady!,24
LORD CAVERSHAM,Never go anywhere now.  Sick of London Society. Shouldn’t mind being introduced to my own tailor; he always votes on the right side.  But object strongly to being sent down to dinner with my wife’s milliner.  Never could stand Lady Caversham’s bonnets.,26
LORD CAVERSHAM,"Hum!  Which is Goring?  Beautiful idiot, or the other thing?",28
LORD CAVERSHAM,Into what?,30
LORD CAVERSHAM,"Well, sir! what are you doing here?  Wasting your life as usual!  You should be in bed, sir.  You keep too late hours!  I heard of you the other night at Lady Rufford’s dancing till four o’clock in the morning!",143
LORD CAVERSHAM,"Can’t make out how you stand London Society.  The thing has gone to the dogs, a lot of damned nobodies talking about nothing.",145
LORD CAVERSHAM,You seem to me to be living entirely for pleasure.,147
LORD CAVERSHAM,"You are heartless, sir, very heartless!",149
LORD CAVERSHAM,Take my cloak off.,673
LORD CAVERSHAM,"Of course it is worth while, sir.  Which is the most comfortable chair?",675
LORD CAVERSHAM,"Thank ye.  No draught, I hope, in this room?",677
LORD CAVERSHAM,Glad to hear it.  Can’t stand draughts.  No draughts at home.,679
LORD CAVERSHAM,"Eh?  Eh?  Don’t understand what you mean.  Want to have a serious conversation with you, sir.",681
LORD CAVERSHAM,"Well, sir, it is only ten o’clock.  What is your objection to the hour?  I think the hour is an admirable hour!",683
LORD CAVERSHAM,"What do you mean, sir?",685
LORD CAVERSHAM,"Well, make it Tuesday, sir, make it Tuesday.",687
LORD CAVERSHAM,"Talk in your sleep, sir?  What does that matter?  You are not married.",689
LORD CAVERSHAM,"Hum!  That is what I have come to talk to you about, sir.  You have got to get married, and at once.  Why, when I was your age, sir, I had been an inconsolable widower for three months, and was already paying my addresses to your admirable mother.  Damme, sir, it is your duty to get married.  You can’t be always living for pleasure. Every man of position is married nowadays.  Bachelors are not fashionable any more.  They are a damaged lot.  Too much is known about them.  You must get a wife, sir.  Look where your friend Robert Chiltern has got to by probity, hard work, and a sensible marriage with a good woman.  Why don’t you imitate him, sir?  Why don’t you take him for your model?",691
LORD CAVERSHAM,"I wish you would, sir.  Then I should be happy.  At present I make your mother’s life miserable on your account.  You are heartless, sir, quite heartless.",693
LORD CAVERSHAM,"And it is high time for you to get married.  You are thirty-four years of age, sir.",695
LORD CAVERSHAM,"I tell you you are thirty-four, sir.  And there is a draught in your room, besides, which makes your conduct worse.  Why did you tell me there was no draught, sir?  I feel a draught, sir, I feel it distinctly.",697
LORD CAVERSHAM,"No, sir; I have called this evening for a definite purpose, and I am going to see it through at all costs to my health or yours.  Put down my cloak, sir.",699
LORD CAVERSHAM,"Well, sir, I suppose I have a right to sneeze when I choose?",703
LORD CAVERSHAM,"Oh, damn sympathy.  There is a great deal too much of that sort of thing going on nowadays.",705
LORD CAVERSHAM,"That is a paradox, sir.  I hate paradoxes.",707
LORD CAVERSHAM,"Do you always really understand what you say, sir?",709
LORD CAVERSHAM,If you listen attentively! . . . Conceited young puppy!,711
LORD CAVERSHAM,"Well, sir? am I to wait attendance on you?",719
LORD CAVERSHAM,"That is a matter for me, sir.  You would probably make a very poor choice.  It is I who should be consulted, not you.  There is property at stake.  It is not a matter for affection. Affection comes later on in married life.",742
LORD CAVERSHAM,"Certainly, sir.  I mean certainly not, sir.  You are talking very foolishly to-night.  What I say is that marriage is a matter for common sense.",744
LORD CAVERSHAM,"No woman, plain or pretty, has any common sense at all, sir.  Common sense is the privilege of our sex.",746
LORD CAVERSHAM,"I use it, sir.  I use nothing else.",748
LORD CAVERSHAM,"It is the secret of your mother’s happiness.  You are very heartless, sir, very heartless.",750
LORD CAVERSHAM,"Well, sir, what are you doing here?  Wasting your time as usual, I suppose?",944
LORD CAVERSHAM,Have you been thinking over what I spoke to you about last night?,946
LORD CAVERSHAM,Engaged to be married yet?,948
LORD CAVERSHAM,You can have till dinner-time if it would be of any convenience to you.,950
LORD CAVERSHAM,Humph!  Never know when you are serious or not.,952
LORD CAVERSHAM,I suppose you have read _The Times_ this morning?,954
LORD CAVERSHAM,Do you mean to say you have not read _The Times_ leading article on Robert Chiltern’s career?,956
LORD CAVERSHAM,"What should it say, sir?  Everything complimentary, of course.  Chiltern’s speech last night on this Argentine Canal scheme was one of the finest pieces of oratory ever delivered in the House since Canning.",958
LORD CAVERSHAM,"Uphold it, sir?  How little you know him!  Why, he denounced it roundly, and the whole system of modern political finance. This speech is the turning-point in his career, as _The Times_ points out.  You should read this article, sir.  ‘Sir Robert Chiltern . . . most rising of our young statesmen . . . Brilliant Orator . . . Unblemished career . . . Well-known integrity of character . . . Represents what is best in English public life . . . Noble contrast to the lax morality so common among foreign politicians.’  They will never say that of you, sir.",960
LORD CAVERSHAM,"He has got more than pluck, sir, he has got genius.",962
LORD CAVERSHAM,I wish you would go into Parliament.,964
LORD CAVERSHAM,Why don’t you try to do something useful in life?,966
LORD CAVERSHAM,"I hate this affectation of youth, sir.  It is a great deal too prevalent nowadays.",968
LORD CAVERSHAM,Why don’t you propose to that pretty Miss Chiltern?,970
LORD CAVERSHAM,I don’t suppose there is the smallest chance of her accepting you.,972
LORD CAVERSHAM,If she did accept you she would be the prettiest fool in England.,974
LORD CAVERSHAM,"You don’t deserve her, sir.",976
LORD CAVERSHAM,"Lady Caversham is as usual, as usual.",979
LORD CAVERSHAM,"They have had a serious relapse, I am sorry to say.",982
LORD CAVERSHAM,"If it is, we shall have to give Lady Caversham a narcotic.  Otherwise she would never consent to have a feather touched.",985
LORD CAVERSHAM,"You are quite right, my dear, quite right . . . as far as he is concerned, I mean.",990
LORD CAVERSHAM,"I regret to say, Miss Chiltern, that I have no influence at all over my son.  I wish I had.  If I had, I know what I would make him do.",992
LORD CAVERSHAM,"He is very heartless, very heartless.",994
LORD CAVERSHAM,"After that, my dear, I really must bid you good morning.",998
LORD CAVERSHAM,I am afraid I can’t take him with me to Downing Street. It is not the Prime Minster’s day for seeing the unemployed.,1000
LORD CAVERSHAM,"Good morning, Lady Chiltern!  Warmest congratulations to you, Chiltern, on your brilliant speech last night.  I have just left the Prime Minister, and you are to have the vacant seat in the Cabinet.",1108
LORD CAVERSHAM,Yes; here is the Prime Minister’s letter.,1110
LORD CAVERSHAM,"Certainly, and you well deserve it too.  You have got what we want so much in political life nowadays—high character, high moral tone, high principles.  Everything that you have not got, sir, and never will have.",1112
LORD CAVERSHAM,"Decline it, sir!",1115
LORD CAVERSHAM,"Decline a seat in the Cabinet, and retire from public life?  Never heard such damned nonsense in the whole course of my existence.  I beg your pardon, Lady Chiltern.  Chiltern, I beg your pardon.  Don’t grin like that, sir.",1117
LORD CAVERSHAM,"Lady Chiltern, you are a sensible woman, the most sensible woman in London, the most sensible woman I know.  Will you kindly prevent your husband from making such a . . . from taking such . . . Will you kindly do that, Lady Chiltern?",1119
LORD CAVERSHAM,You approve of it?  Good heavens!,1121
LORD CAVERSHAM,"What is the matter with this family?  Something wrong here, eh?  Idiocy?  Hereditary, I suppose. Both of them, too.  Wife as well as husband.  Very sad.  Very sad indeed! And they are not an old family.  Can’t understand it.",1126
LORD CAVERSHAM,"What is it then, sir?",1128
LORD CAVERSHAM,Hate these new-fangled names.  Same thing as we used to call idiocy fifty years ago.  Shan’t stay in this house any longer.,1130
LORD CAVERSHAM,"What, sir?",1132
LORD CAVERSHAM,"What about, sir?",1134
LORD CAVERSHAM,Not a subject on which much eloquence is possible.,1136
LORD CAVERSHAM,"What does this mean, sir? You don’t mean to say that this charming, clever young lady has been so foolish as to accept you?",1183
LORD CAVERSHAM,"I am very glad to hear that, Chiltern . . . I congratulate you, sir.  If the country doesn’t go to the dogs or the Radicals, we shall have you Prime Minister, some day.",1185
LORD CAVERSHAM,"With pleasure, and I’ll drive you down to Downing Street afterwards, Chiltern.  You have a great future before you, a great future.  Wish I could say the same for you, sir. But your career will have to be entirely domestic.",1188
LORD CAVERSHAM,"And if you don’t make this young lady an ideal husband, I’ll cut you off with a shilling.",1190
LORD CAVERSHAM,"What do you want him to be then, dear?",1192
LORD CAVERSHAM,"Upon my word, there is a good deal of common sense in that, Lady Chiltern.",1194
LADY CHILTERN,I don’t think Lord Goring has arrived yet.,20
LADY CHILTERN,I think Mrs. Cheveley and I have met before.  I did not know she had married a second time.,34
LADY CHILTERN,"We were at school together, Mrs. Cheveley.",37
LADY CHILTERN,I am not surprised!,39
LADY CHILTERN,"I hardly think there will be much in common between you and my husband, Mrs. Cheveley!",41
LADY CHILTERN,"Why did you wish to meet my husband, Mrs. Cheveley?",280
LADY CHILTERN,There must be some mistake.  That scheme could never have my husband’s support.,282
LADY CHILTERN,A secret?  Between whom?,284
LADY CHILTERN,"Good-night, dear!  You saw whom Lady Markby brought here to-night?",309
LADY CHILTERN,"Apparently to try and lure Robert to uphold some fraudulent scheme in which she is interested.  The Argentine Canal, in fact.",311
LADY CHILTERN,She is incapable of understanding an upright nature like my husband’s!,313
LADY CHILTERN,I don’t call women of that kind clever.  I call them stupid!,315
LADY CHILTERN,Good-night!,317
LADY CHILTERN,"Robert, it is not true, is it?  You are not going to lend your support to this Argentine speculation?  You couldn’t!",321
LADY CHILTERN,"That woman who has just gone out, Mrs. Cheveley, as she calls herself now.  She seemed to taunt me with it.  Robert, I know this woman.  You don’t.  We were at school together.  She was untruthful, dishonest, an evil influence on every one whose trust or friendship she could win.  I hated, I despised her.  She stole things, she was a thief. She was sent away for being a thief.  Why do you let her influence you?",323
LADY CHILTERN,One’s past is what one is.  It is the only way by which people should be judged.,325
LADY CHILTERN,"It is a true saying, Robert.  And what did she mean by boasting that she had got you to lend your support, your name, to a thing I have heard you describe as the most dishonest and fraudulent scheme there has ever been in political life?",327
LADY CHILTERN,"But you told me yesterday that you had received the report from the Commission, and that it entirely condemned the whole thing.",329
LADY CHILTERN,They should both represent man at his highest.  I see no difference between them.,331
LADY CHILTERN,All!,333
LADY CHILTERN,"Robert!  Oh! it is horrible that I should have to ask you such a question—Robert, are you telling me the whole truth?",335
LADY CHILTERN,Why do you not answer it?,337
LADY CHILTERN,"Compromise?  Robert, why do you talk so differently to-night from the way I have always heard you talk?  Why are you changed?",339
LADY CHILTERN,Circumstances should never alter principles!,341
LADY CHILTERN,What?,343
LADY CHILTERN,"It can never be necessary to do what is not honourable. Or if it be necessary, then what is it that I have loved!  But it is not, Robert; tell me it is not.  Why should it be?  What gain would you get? Money?  We have no need of that!  And money that comes from a tainted source is a degradation.  Power?  But power is nothing in itself.  It is power to do good that is fine—that, and that only.  What is it, then? Robert, tell me why you are going to do this dishonourable thing!",345
LADY CHILTERN,"Robert, that is all very well for other men, for men who treat life simply as a sordid speculation; but not for you, Robert, not for you.  You are different.  All your life you have stood apart from others.  You have never let the world soil you.  To the world, as to myself, you have been an ideal always.  Oh! be that ideal still.  That great inheritance throw not away—that tower of ivory do not destroy. Robert, men can love what is beneath them—things unworthy, stained, dishonoured.  We women worship when we love; and when we lose our worship, we lose everything.  Oh! don’t kill my love for you, don’t kill that!",347
LADY CHILTERN,"I know that there are men with horrible secrets in their lives—men who have done some shameful thing, and who in some critical moment have to pay for it, by doing some other act of shame—oh! don’t tell me you are such as they are!  Robert, is there in your life any secret dishonour or disgrace?  Tell me, tell me at once, that—",349
LADY CHILTERN,That our lives may drift apart.,351
LADY CHILTERN,That they may be entirely separate.  It would be better for us both.,353
LADY CHILTERN,"I was sure of it, Robert, I was sure of it.  But why did you say those dreadful things, things so unlike your real self?  Don’t let us ever talk about the subject again.  You will write, won’t you, to Mrs. Cheveley, and tell her that you cannot support this scandalous scheme of hers?  If you have given her any promise you must take it back, that is all!",355
LADY CHILTERN,"Surely, Robert!  What else is there to do?",357
LADY CHILTERN,"You must never see her again, Robert.  She is not a woman you should ever speak to.  She is not worthy to talk to a man like you. No; you must write to her at once, now, this moment, and let your letter show her that your decision is quite irrevocable!",359
LADY CHILTERN,Yes.,361
LADY CHILTERN,"That makes no matter.  She must know at once that she has been mistaken in you—and that you are not a man to do anything base or underhand or dishonourable.  Write here, Robert.  Write that you decline to support this scheme of hers, as you hold it to be a dishonest scheme. Yes—write the word dishonest.  She knows what that word means.  Yes; that will do.  And now the envelope.  Have this letter sent at once to Claridge’s Hotel.  There is no answer.  Robert, love gives one an instinct to things.  I feel to-night that I have saved you from something that might have been a danger to you, from something that might have made men honour you less than they do.  I don’t think you realise sufficiently, Robert, that you have brought into the political life of our time a nobler atmosphere, a finer attitude towards life, a freer air of purer aims and higher ideals—I know it, and for that I love you, Robert.",363
LADY CHILTERN,"I will love you always, because you will always be worthy of love.  We needs must love the highest when we see it!",365
LADY CHILTERN,"Good afternoon, Lord Goring!",461
LADY CHILTERN,"No; I have just come from the Woman’s Liberal Association, where, by the way, Robert, your name was received with loud applause, and now I have come in to have my tea. You will wait and have some tea, won’t you?",463
LADY CHILTERN,I will be back in a moment.  I am only going to take my hat off.,465
LADY CHILTERN,"We have much more important work to do than look at each other’s bonnets, Lord Goring.",467
LADY CHILTERN,"Oh! dull, useful, delightful things, Factory Acts, Female Inspectors, the Eight Hours’ Bill, the Parliamentary Franchise. . . . Everything, in fact, that you would find thoroughly uninteresting.",469
LADY CHILTERN,"Never bonnets, never!",471
LADY CHILTERN,"You are not going, Robert?",479
LADY CHILTERN,"You work too hard, Robert.  You seem never to think of yourself, and you are looking so tired.",481
LADY CHILTERN,"Do sit down.  I am so glad you have called.  I want to talk to you about . . . well, not about bonnets, or the Woman’s Liberal Association.  You take far too much interest in the first subject, and not nearly enough in the second.",483
LADY CHILTERN,"Yes.  You have guessed it.  After you left last night I found out that what she had said was really true.  Of course I made Robert write her a letter at once, withdrawing his promise.",485
LADY CHILTERN,"To have kept it would have been the first stain on a career that has been stainless always.  Robert must be above reproach. He is not like other men.  He cannot afford to do what other men do. Don’t you agree with me?  You are Robert’s greatest friend.  You are our greatest friend, Lord Goring.  No one, except myself, knows Robert better than you do.  He has no secrets from me, and I don’t think he has any from you.",487
LADY CHILTERN,Then am I not right in my estimate of him?  I know I am right.  But speak to me frankly.,489
LADY CHILTERN,"Surely.  You have nothing to conceal, have you?",491
LADY CHILTERN,"Of which you know so little, Lord Goring—",493
LADY CHILTERN,Well?,495
LADY CHILTERN,"I hope so.  Why do you look at me so strangely, Lord Goring?",497
LADY CHILTERN,What do you mean by a foolish letter?,499
LADY CHILTERN,Robert is as incapable of doing a foolish thing as he is of doing a wrong thing.,501
LADY CHILTERN,Are you a Pessimist?  What will the other dandies say? They will all have to go into mourning.,503
LADY CHILTERN,"Lord Goring, you are talking quite seriously.  I don’t think I ever heard you talk seriously before.",505
LADY CHILTERN,But I like you to be serious.,507
LADY CHILTERN,I am sure Mr. Trafford will be able to give you one.,520
LADY CHILTERN,Yes; but I don’t know why you said it to me.,524
LADY CHILTERN,What has poor Mr. Trafford done this time?  Robert says he is the best secretary he has ever had.,534
LADY CHILTERN,"Dear Mabel, don’t talk like that.  Besides, Robert thinks very highly of Mr. Trafford.  He believes he has a brilliant future before him.",536
LADY CHILTERN,Mabel!,538
LADY CHILTERN,Mrs. Cheveley!  Coming to see me? Impossible!,540
LADY CHILTERN,"You need not wait, Mabel.  Remember, Lady Basildon is expecting you.",542
LADY CHILTERN,"Dear Lady Markby, how nice of you to come and see me!  Won’t you sit down, Mrs. Cheveley?",545
LADY CHILTERN,"Mabel, Mrs. Cheveley wishes to know you.",547
LADY CHILTERN,Here?,562
LADY CHILTERN,I have heard nothing about it.  But I will send for the butler and ask.,564
LADY CHILTERN,"What sort of a brooch was it that you lost, Mrs. Cheveley?",569
LADY CHILTERN,"Has a ruby and diamond brooch been found in any of the rooms this morning, Mason?",574
LADY CHILTERN,"Oh, it has been no inconvenience.  That will do, Mason.  You can bring tea.",577
LADY CHILTERN,"Ah! it is heresy to say that in this house, Lady Markby. Robert is a great champion of the Higher Education of Women, and so, I am afraid, am I.",579
LADY CHILTERN,"But I am very much interested in politics, Lady Markby. I love to hear Robert talk about them.",584
LADY CHILTERN,"May I give you some tea, Mrs. Cheveley?",590
LADY CHILTERN,"Some tea, Lady Markby?",592
LADY CHILTERN,"Just slightly.  She was staying at Langton last autumn, when we were there.",598
LADY CHILTERN,"Robert and I are dining at home by ourselves to-night, and I don’t think I shall go anywhere afterwards.  Robert, of course, will have to be in the House.  But there is nothing interesting on.",605
LADY CHILTERN,"Mrs. Cheveley, I think it is right to tell you quite frankly that, had I known who you really were, I should not have invited you to my house last night.",608
LADY CHILTERN,I could not have done so.,610
LADY CHILTERN,I never change.,612
LADY CHILTERN,"It has taught me that a person who has once been guilty of a dishonest and dishonourable action may be guilty of it a second time, and should be shunned.",614
LADY CHILTERN,"Yes, to every one, without exception.",616
LADY CHILTERN,"You see now, I was sure, that for many reasons any further acquaintance between us during your stay in London is quite impossible?",618
LADY CHILTERN,"Like the service you wished to render my husband last night, I suppose.  Thank heaven, I saved him from that.",620
LADY CHILTERN,Yes.,622
LADY CHILTERN,This fraudulent speculation—,624
LADY CHILTERN,You are impertinent. What has my husband to do with you?  With a woman like you?,626
LADY CHILTERN,How dare you class my husband with yourself?  How dare you threaten him or me?  Leave my house.  You are unfit to enter it.,628
LADY CHILTERN,It is not true!  Robert!  It is not true!,630
LADY CHILTERN,"You sold a Cabinet secret for money!  You began your life with fraud!  You built up your career on dishonour!  Oh, tell me it is not true!  Lie to me!  Lie to me!  Tell me it is not true!",635
LADY CHILTERN,Don’t come near me.  Don’t touch me.  I feel as if you had soiled me for ever.  Oh! what a mask you have been wearing all these years!  A horrible painted mask!  You sold yourself for money.  Oh! a common thief were better.  You put yourself up to sale to the highest bidder!  You were bought in the market.  You lied to the whole world. And yet you will not lie to me.,637
LADY CHILTERN,"No, don’t speak!  Say nothing!  Your voice wakes terrible memories—memories of things that made me love you—memories of words that made me love you—memories that now are horrible to me.  And how I worshipped you!  You were to me something apart from common life, a thing pure, noble, honest, without stain.  The world seemed to me finer because you were in it, and goodness more real because you lived.  And now—oh, when I think that I made of a man like you my ideal! the ideal of my life!",639
LADY CHILTERN,"Good morning, dear!  How pretty you are looking!",1039
LADY CHILTERN,"Good morning, Lord Goring!",1041
LADY CHILTERN,Safe!  Oh! I am so glad of that.  What a good friend you are to him—to us!,1047
LADY CHILTERN,Who is that?,1049
LADY CHILTERN,I?  In danger?  What do you mean?,1051
LADY CHILTERN,"Well, what use is it to her?  Why should she not have it?",1053
LADY CHILTERN,"But what construction could she put on it? . . . Oh! not that! not that!  If I in—in trouble, and wanting your help, trusting you, propose to come to you . . . that you may advise me . . . assist me . . . Oh! are there women so horrible as that . . .?  And she proposes to send it to my husband?  Tell me what happened.  Tell me all that happened.",1055
LADY CHILTERN,At what hour did this happen?,1057
LADY CHILTERN,"You want me to tell Robert that the woman you expected was not Mrs. Cheveley, but myself?  That it was I whom you thought was concealed in a room in your house, at half-past ten o’clock at night?  You want me to tell him that?",1059
LADY CHILTERN,"Oh, I couldn’t, I couldn’t!",1061
LADY CHILTERN,No.,1063
LADY CHILTERN,No.  The letter must be intercepted.  That is all.  But how can I do it?  Letters arrive for him every moment of the day.  His secretaries open them and hand them to him.  I dare not ask the servants to bring me his letters.  It would be impossible.  Oh! why don’t you tell me what to do?,1065
LADY CHILTERN,Yes.,1067
LADY CHILTERN,"No.  Mr. Montford, I think.",1069
LADY CHILTERN,Oh! how do I know?,1071
LADY CHILTERN,I think so.,1073
LADY CHILTERN,I suppose so.,1075
LADY CHILTERN,Yes.,1077
LADY CHILTERN,Oh! you have saved his life; what have you done with mine?,1079
LADY CHILTERN,Yes.,1081
LADY CHILTERN,Yes.,1083
LADY CHILTERN,Because I loved you.,1085
LADY CHILTERN,"There is no disgrace in store for you, nor any public shame.  Mrs. Cheveley has handed over to Lord Goring the document that was in her possession, and he has destroyed it.",1087
LADY CHILTERN,Yes; Lord Goring has just told me.,1089
LADY CHILTERN,He burned it.,1091
LADY CHILTERN,Yes; he is in the conservatory.,1093
LADY CHILTERN,Public honour has been the result.,1095
LADY CHILTERN,"Oh yes, Robert, you should do that.  It is your duty to do that.",1097
LADY CHILTERN,No; it will be much to gain.,1099
LADY CHILTERN,"Oh! none, Robert.",1101
LADY CHILTERN,"Oh, my ambition!  I have none now, but that we two may love each other.  It was your ambition that led you astray.  Let us not talk about ambition.",1103
LADY CHILTERN,"I think my husband is right in his determination, Lord Caversham.  I approve of it.",1120
LADY CHILTERN,"I admire him for it.  I admire him immensely for it.  I have never admired him so much before. He is finer than even I thought him.  You will go and write your letter to the Prime Minister now, won’t you? Don’t hesitate about it, Robert.",1122
LADY CHILTERN,"I may come with you, Robert, may I not?",1124
LADY CHILTERN,I don’t understand you.,1139
LADY CHILTERN,Lord Goring?,1141
LADY CHILTERN,But it is my husband himself who wishes to retire from public life.  He feels it is his duty. It was he who first said so.,1143
LADY CHILTERN,We have both been punished.  I set him up too high.,1145
LADY CHILTERN,Let me see it.,1148
LADY CHILTERN,"A man’s life is of more value than a woman’s.  It has larger issues, wider scope, greater ambitions.  Our lives revolve in curves of emotions.  It is upon lines of intellect that a man’s life progresses.  I have just learnt this, and much else with it, from Lord Goring.  And I will not spoil your life for you, nor see you spoil it as a sacrifice to me, a useless sacrifice!",1150
LADY CHILTERN,You can forget.  Men easily forget.  And I forgive.  That is how women help the world.  I see that now.,1152
LADY CHILTERN,"Oh, I am so glad!  I am so glad!",1157
LADY CHILTERN,"Robert, if they love each other, why should they not be married?",1165
LADY CHILTERN,"Robert, it was not Mrs. Cheveley whom Lord Goring expected last night.",1172
LADY CHILTERN,"It was your own wife.  Robert, yesterday afternoon Lord Goring told me that if ever I was in trouble I could come to him for help, as he was our oldest and best friend.  Later on, after that terrible scene in this room, I wrote to him telling him that I trusted him, that I had need of him, that I was coming to him for help and advice. Yes, that letter.  I didn’t go to Lord Goring’s, after all.  I felt that it is from ourselves alone that help can come.  Pride made me think that. Mrs. Cheveley went.  She stole my letter and sent it anonymously to you this morning, that you should think . . . Oh! Robert, I cannot tell you what she wished you to think. . . .",1175
LADY CHILTERN,Let me write yours.  It is you I trust and need.  You and none else.,1177
LADY CHILTERN,No; you shall have Mabel.,1179
LADY CHILTERN,"Aren’t you coming in, Robert?",1195
LADY CHILTERN,"It is love, Robert.  Love, and only love.  For both of us a new life is beginning.",1197
MABEL CHILTERN,Why do you call Lord Goring good-for-nothing?,21
MABEL CHILTERN,"How can you say such a thing?  Why, he rides in the Row at ten o’clock in the morning, goes to the Opera three times a week, changes his clothes at least five times a day, and dines out every night of the season.  You don’t call that leading an idle life, do you?",23
MABEL CHILTERN,"How sweet of you to say that, Lord Caversham!  Do come to us more often.  You know we are always at home on Wednesdays, and you look so well with your star!",25
MABEL CHILTERN,"Oh, I love London Society!  I think it has immensely improved.  It is entirely composed now of beautiful idiots and brilliant lunatics.  Just what Society should be.",27
